edgeLabel,locationA,locationB,actualDistance,Contributer,Notes
AshevilleNC_tofrom_DuluthGA_on_US23,AshevilleNC,DuluthGA,176,IT,
AshevilleNC_tofrom_DuluthGA_on_I26_and_I85,AshevilleNC,DuluthGA,186,IT,
AshevilleNC_tofrom_AugustaGA_on_I26_and_US121,AshevilleNC,AugustaGA,183,IT,
AshevilleNC_tofrom_ColumbiaSC_on_I26,AshevilleNC,ColumbiaSC,158,IT,
BooneNC_tofrom_RaleighNC_on_US421_and_I40,BooneNC,RaleighNC,188,IT,
BooneNC_tofrom_CharlotteNC_on_US321,BooneNC,CharlotteNC,101,IT,
BooneNC_tofrom_GatlinburgTN,BooneNC,GatlinburgTN,173,IT,
BooneNC_tofrom_KnoxvilleTN_on_I81,BooneNC,KnoxvilleTN,161,IT,
WilmingtonNC_tofrom_RaleighNC_on_I40,WilmingtonNC,RaleighNC,129,IT,
WilmingtonNC_tofrom_FayettevilleNC_on_US87,WilmingtonNC,FayettevilleNC,92,IT,
JacksonTN_tofrom_LexingtonTN,JacksonTN,LexingtonTN,27,IT,
LexingtonTN_tofrom_ShilohTN,LexingtonTN,ShilohTN,39,IT,
NashvilleTN_tofrom_SpartaTN,NashvilleTN,SpartaTN,87,IT,
SpartaTN_tofrom_AlbanyKY,SpartaTN,AlbanyKY,67,IT,
NashvilleTN_tofrom_AlbanyKY,NashvilleTN,AlbanyKY,131,IT,
ChattanoogaTN_tofrom_OakRidgeTN,ChattanoogaTN,OakRidgeTN,101,IT,
OakRidgeTN_tofrom_AlbanyKY,OakRidgeTN,AlbanyKY,85,IT,
DallasTX_tofrom_AbileneTX_on_I-30W_and_I-20W,DallasTX,AbileneTX,181,IT,
DallasTX_tofrom_AbileneTX_on_US-180W,DallasTX,AbileneTX,191,IT,
AbileneTX_tofrom_MidlandTX_on_I-20W,AbileneTX,MidlandTX,148,IT,
AbileneTX_tofrom_MidlandTX_on_I-20W_and_TX-158W,AbileneTX,MidlandTX,175,IT,
AbileneTX_tofrom_MidlandTX_on_US-277S_and_TX-158W,AbileneTX,MidlandTX,172,IT,
MidlandTX_tofrom_OdessaTX_on_I-20W,MidlandTX,OdessaTX,22.6,IT,
MidlandTX_tofrom_OdessaTX_on_I-20BLW,MidlandTX,OdessaTX,20.1,IT,
OdessaTX_tofrom_PecosTX_on_I-20W,OdessaTX,PecosTX,75.7,IT,
PecosTX_tofrom_CarlsbadNM_on_USHwy285N,PecosTX,CarlsbadNM,86.1,IT,
CarlsbadNM_tofrom_RoswellNM_on_USHwy285N,CarlsbadNM,RoswellNM,76.2,IT,
CarlsbadNM_tofrom_RoswellNM_on_IllinoisCampRd_and_USHwy285N,CarlsbadNM,RoswellNM,78,IT,
CarlsbadNM_tofrom_RoswellNM_on_USHwy285N_and_NM-2N,CarlsbadNM,RoswellNM,79,IT,
RoswellNM_tofrom_AlamogordoNM_on_US-70W,RoswellNM,AlamogordoNM,118,IT,
AlamogordoNM_tofrom_DemingNM_on_US-70W_and_I-10W,AlamogordoNM,DemingNM,133,IT,
AlamogordoNM_tofrom_DemingNM_on_US-70W,AlamogordoNM,DemingNM,150,IT,
DemingNM_tofrom_LordsburgNM_on_I-10W,DemingNM,LordsburgNM,60.4,IT,
LordsburgNM_tofrom_SaffordAZ_on_US-70W,LordsburgNM,SaffordAZ,75.1,IT,
LordsburgNM_tofrom_SaffordAZ_on_I-10W_and_US-191N,LordsburgNM,SaffordAZ,92.8,IT,
SaffordAZ_tofrom_GlobeAZ_on_US-70W,SaffordAZ,GlobeAZ,77.7,IT,
GlobeAZ_tofrom_PhoenixAZ_on_US-60W,GlobeAZ,PhoenixAZ,87.5,IT,
GlobeAZ_tofrom_PhoenixAZ_on_I-10W_and_US-60W,GlobeAZ,PhoenixAZ,87.4,IT,
PhoenixAZ_tofrom_KingmanAZ_on_US-93N,PhoenixAZ,KingmanAZ,194,IT,
KingmanAZ_tofrom_LasVegasNV_on_US-93N,KingmanAZ,LasVegasNV,107,IT,
LasVegasNV_tofrom_BarstowCA_on_I-15S,LasVegasNV,BarstowCA,156,IT,
BarstowCA_tofrom_RiversideCA_on_I-15S_and_I-215S,BarstowCA,RiversideCA,80.8,IT,
RiversideCA_tofrom_LosAngelesCA_on_CA-60 W,RiversideCA,LosAngelesCA,55.3,IT,
RiversideCA_tofrom_LosAngelesCA_on_CA-60W_and_I-10W,RiversideCA,LosAngelesCA,54,IT,
RiversideCA_tofrom_LosAngelesCA_on_CA-91W_and_CA-60W,RiversideCA,LosAngelesCA,62.3,IT,
RiversideCA_tofrom_SanDiegoCA_on_I-215S_and_I-15S,RiversideCA,SanDiegoCA,98.4,IT,
RiversideCA_tofrom_SanDiegoCA_on_I-215S_and_I-15S_and_CA-163S,RiversideCA,SanDiegoCA,98.8,IT,
RiversideCA_tofrom_SanDiegoCA_on_I-15S,RiversideCA,SanDiegoCA,108,IT,
LosAngelesCA_tofrom_SanDiegoCA_on_I-5S,LosAngelesCA,SanDiegoCA,120,IT,
LosAngelesCA_tofrom_SanDiegoCA_on_EWashingtonBlvd_and_I-5 S,LosAngelesCA,SanDiegoCA,121,IT,
LosAngelesCA_tofrom_SanDiegoCA_on_I-15S,LosAngelesCA,SanDiegoCA,143,IT,
Blacksburg_tofrom_Bristol_on_I81,BlacksburgVA,BristolTN,125,IT,
Bristol_tofrom_Knoxville_on_I40_and_I81,BristolTN,KnoxvilleTN,113,IT,
HersheyPA_tofrom_BaltimoreMD,HersheyPA,BaltimoreMD,90,IT,
Chicago_tofrom_Madison_on_I88,ChicagoIL,MadisonWI,148,IT,
Chicago_tofrom_Urbana_on_I88,ChicagoIL,UrbanaIL,126,IT,
Chicago_tofrom_Champaign_on_I88,ChicagoIL,ChampaignIL,135,IT,
Urbana_tofrom_Springfield,UrbanaIL,SpringfieldIL,87,IT,
Champaign_tofrom_Springfield,ChampaignIL,SpringfieldIL,86,IT,
Urbana_tofrom_StLouis,UrbanaIL,StLouisMO,149,IT,
Champaign_tofrom_StLouis,ChampaignIL,StLouisMO,181,IT,
Nashville_tofrom_Cookeville_on_I40,NashvilleTN,CookevilleTN,80,IT,
Huntsville_tofrom_Birmingham_on_I65,HuntsvilleAL,BirminghamAL,102,IT,
Athens_tofrom_Columbia,AthensGA,ColumbiaSC,164,IT,
Clarskville_tofrom_Evansville,ClarksvilleTN,EvansvilleIN,108,IT,
Evansville_tofrom_Springfield,EvansvilleIN,SpringfieldTN,137,IT,
AthensAL_tofrom_BirminghamAL,AthensAL,BirminghamAL,95,IT,
HuntsvilleAL_tofrom_GadsenAL,HuntsvilleAL,GadsenAL,72,IT,
ChattanoogaTN_tofrom_GatlinburgTN,ChattanoogaTN,GatlinburgTN,155,IT,
StLouis_tofrom_KansasCity,StLouisMO,KansasCityMO,248,IT,
SanJose_tofrom_PaloAlto_on_I101S,SanJoseCA,PaloAltoCA,17.4,IT,
SanDiego_tofrom_LosAngeles_on_I5N,SanDiegoCA,LosAngelesCA,121,IT,
Houston_tofrom_SanAntonio_on_I10E,HoustonTX,SanAntonioTX,197,IT,
Denver_tofrom_ColoradoSprings_on_I25S,DenverCO,ColoradoSpringsCO,69.3,IT,
